Ticker,Year
AA,2008
AAPL,2008
ABC,2008
ABI,2008
ABK,2008
ABT,2008
ACAS,2008
ACE,2008
ACS,2008
ADBE,2008
ADI,2008
ADM,2008
ADP,2008
ADSK,2008
AEE,2008
AEP,2008
AES,2008
AET,2008
AFL,2008
AGN,2008
AIG,2008
AIV,2008
AIZ,2008
AKAM,2008
ALL,2008
ALTR,2008
AMAT,2008
AMD,2008
AMGN,2008
AMP,2008
AMT,2008
AMZN,2008
AN,2008
ANF,2008
ANTM,2008
AON,2008
APA,2008
APC,2008
APD,2008
APOL,2008
ASH,2008
ATI,2008
AW,2008
AVB,2008
AVP,2008
AVY,2008
AXP,2008
AYE,2008
AZO,2008
BA,2008
BAC,2008
BAX,2008
BBBY,2008
BBT,2008
BBY,2008
BC,2008
BCR,2008
BDK,2008
BDX,2008
BEAM,2008
BEN,2008
BF.B,2008
BHI,2008
BIG,2008
BIIB,2008
BJS,2008
BK,2008
BLL,2008
BMC,2008
BMS,2008
BMY,2008
BNI,2008
BRCM,2008
BRL,2008
BSC,2008
BSX,2008
BTU,2008
BUD,2008
BXP,2008
C,2008
CA,2008
CAG,2008
CAH,2008
CAT,2008
CB,2008
CBE,2008
CBG,2008
CBH,2008
CBS,2008
CC,2008
CCE,2008
CCL,2008
CEG,2008
CELG,2008
CFC,2008
CHK,2008
CHRW,2008
CI,2008
CIEN,2008
CINF,2008
CIT,2008
CL,2008
CLX,2008
CMA,2008
CMCSA,2008
CME,2008
CMI,2008
CMS,2008
CNP,2008
CNX,2008
COF,2008
COH,2008
COL,2008
COP,2008
COST,2008
COV,2008
CPB,2008
CPWR,2008
CSC,2008
CSCO,2008
CSX,2008
CTAS,2008
CTL,2008
CTSH,2008
CTX,2008
CTXS,2008
CVG,2008
CVH,2008
CVS,2008
CVX,2008
CZR,2008
D,2008
DD,2008
DDR,2008
DDS,2008
DE,2008
DELL,2008
DF,2008
DFS,2008
DGX,2008
DHI,2008
DHR,2008
DIS,2008
DOV,2008
DOW,2008
DRI,2008
DTE,2008
DTV,2008
DUK,2008
DVN,2008
DYN,2008
EA,2008
EBAY,2008
ECL,2008
ED,2008
EDS,2008
EFX,2008
EIX,2008
EK,2008
EL,2008
EMC,2008
EMN,2008
EMR,2008
EOG,2008
EP,2008
EQ,2008
EQR,2008
ESRX,2008
ESV,2008
ETFC,2008
ETN,2008
ETR,2008
EXC,2008
EXPD,2008
EXPE,2008
F,2008
FCX,2008
FDO,2008
FDX,2008
FE,2008
FHN,2008
FII,2008
FIS,2008
FISV,2008
FITB,2008
FLR,2008
FNM,2008
FOXA,2008
FRE,2008
FRX,2008
FTR,2008
GAS,2008
GCI,2008
GD,2008
GE,2008
GENZ,2008
GGP,2008
GHC,2008
GILD,2008
GIS,2008
GLW,2008
GM,2008
GME,2008
GNW,2008
GOOGL,2008
GPC,2008
GPS,2008
GR,2008
GS,2008
GT,2008
GWW,2008
HAL,2008
HAR,2008
HAS,2008
HBAN,2008
HCBK,2008
HD,2008
HES,2008
HIG,2008
HNZ,2008
HOG,2008
HON,2008
HOT,2008
HPC,2008
HPQ,2008
HRB,2008
HSH,2008
HSP,2008
HST,2008
HSY,2008
HUM,2008
IACI,2008
IBM,2008
ICE,2008
IFF,2008
IGT,2008
IHRT,2008
IMS,2008
INTC,2008
INTU,2008
IP,2008
IPG,2008
IR,2008
ITT,2008
ITW,2008
JAVA,2008
JBL,2008
JCI,2008
JCP,2008
JEC,2008
JNJ,2008
JNPR,2008
JNS,2008
JNY,2008
JPM,2008
JWN,2008
K,2008
KATE,2008
KBH,2008
KEY,2008
KG,2008
KIM,2008
KLAC,2008
KMB,2008
KO,2008
KR,2008
KSS,2008
L,2008
LB,2008
LEG,2008
LEH,2008
LEN,2008
LH,2008
LLL,2008
LLTC,2008
LLY,2008
LM,2008
LMT,2008
LNC,2008
LOW,2008
LSI,2008
LUK,2008
LUV,2008
LXK,2008
M,2008
MAR,2008
MAS,2008
MAT,2008
MBI,2008
MCD,2008
MCHP,2008
MCK,2008
MCO,2008
MDLZ,2008
MDP,2008
MDT,2008
MER,2008
MET,2008
MHFI,2008
MHS,2008
MI,2008
MIL,2008
MKC,2008
MMC,2008
MMM,2008
MO,2008
MOLX,2008
MON,2008
MRK,2008
MRO,2008
MS,2008
MSFT,2008
MSI,2008
MTB,2008
MTG,2008
MTW,2008
MU,2008
MUR,2008
MWV,2008
MWW,2008
MYL,2008
NBL,2008
NBR,2008
NCC,2008
NE,2008
NEE,2008
NEM,2008
NI,2008
NKE,2008
NOC,2008
NOV,2008
NOVL,2008
NSC,2008
NSM,2008
NTAP,2008
NTRS,2008
NUE,2008
NVDA,2008
NWL,2008
NVLS,2008
NYT,2008
NYX,2008
ODP,2008
OMC,2008
OMX,2008
ORCL,2008
OXY,2008
PAYX,2008
PBG,2008
PBI,2008
PCAR,2008
PCG,2008
PCL,2008
PCP,2008
PDCO,2008
PEG,2008
PEP,2008
PFE,2008
PFG,2008
PG,2008
PGN,2008
PGR,2008
PH,2008
PHM,2008
PKI,2008
PLD,2008
PLL,2008
PNC,2008
PNW,2008
POM,2008
PPG,2008
PPL,2008
PRU,2008
PSA,2008
PTV,2008
PX,2008
Q,2008
QCOM,2008
QLGC,2008
R,2008
RAI,2008
RDC,2008
RF,2008
RHI,2008
RIG,2008
RL,2008
ROH,2008
ROK,2008
RRC,2008
RRD,2008
RSH,2008
RTN,2008
S,2008
SAF,2008
SBUX,2008
SCHW,2008
SE,2008
SEE,2008
SGP,2008
SHLD,2008
SHW,2008
SIAL,2008
SII,2008
SLB,2008
SLM,2008
SNA,2008
SNDK,2008
SO,2008
SOV,2008
SPG,2008
SPLS,2008
SRE,2008
SSP,2008
STI,2008
STJ,2008
STR,2008
STT,2008
STZ,2008
SUN,2008
SUNE,2008
SWK,2008
SVU,2008
SWY,2008
SYK,2008
SYMC,2008
SYY,2008
T,2008
TAP,2008
TDC,2008
TE,2008
TEG,2008
TEL,2008
TER,2008
TEX,2008
TGT,2008
THC,2008
TIE,2008
TIF,2008
TJX,2008
TLAB,2008
TMK,2008
TMO,2008
TROW,2008
TRV,2008
TSN,2008
TSO,2008
TSS,2008
TT,2008
TWX,2008
TXN,2008
TXT,2008
TYC,2008
UIS,2008
UNH,2008
UNM,2008
UNP,2008
UPS,2008
USB,2008
UST,2008
UTX,2008
WAMUQ,2008
VAR,2008
WAT,2008
WB,2008
WBA,2008
WEN,2008
VFC,2008
WFC,2008
WFM,2008
WFT,2008
WHR,2008
VIAB,2008
VIAV,2008
WIN,2008
VLO,2008
WM,2008
WMB,2008
VMC,2008
WMT,2008
VNO,2008
VRSN,2008
VZ,2008
WU,2008
WWY,2008
WY,2008
WYE,2008
WYN,2008
X,2008
XEL,2008
XL,2008
XLNX,2008
XOM,2008
XRX,2008
XTO,2008
YHOO,2008
YUM,2008
ZBH,2008
ZION,2008
AA,2009
AAPL,2009
ABC,2009
ABT,2009
ACAS,2009
ACS,2009
ADBE,2009
ADI,2009
ADM,2009
ADP,2009
ADSK,2009
AEE,2009
AEP,2009
AES,2009
AET,2009
AFL,2009
AGN,2009
AIG,2009
AIV,2009
AIZ,2009
AKAM,2009
AKS,2009
ALL,2009
ALTR,2009
